"filename", "language", "Lua", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\Dialogues.lua", "Lua", 32, 0, 0, 5, 4, 41
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\Images.lua", "Lua", 8, 0, 0, 0, 6, 14
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\init.lua", "Lua", 89, 0, 0, 1, 25, 115
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\GuiHandler.client.lua", "Lua", 68, 0, 0, 5, 36, 109
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\CryAnimations.lua", "Lua", 29, 0, 0, 0, 9, 38
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\CurrencyData.lua", "Lua", 7, 0, 0, 0, 1, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\Dumbell.client.lua", "Lua", 26, 0, 0, 0, 10, 36
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\MainGui.lua", "Lua", 104, 0, 0, 10, 20, 134
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\PhoneHandler.lua", "Lua", 202, 0, 0, 13, 62, 277
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\ProfileData.lua", "Lua", 10, 0, 0, 0, 3, 13
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\VideosData.lua", "Lua", 63, 0, 0, 0, 2, 65
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\gamepassHandler.lua", "Lua", 17, 0, 0, 0, 3, 20
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\guiAnimation.lua", "Lua", 46, 0, 0, 7, 20, 73
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\popupHandler.client.lua", "Lua", 15, 0, 0, 0, 9, 24
"Total", "-", 7890, 36, 38, 580, 1690, 10234
